City,Country,Latitude,Longitude,Date,Cloudiness,Humidity,Max Temperature,Wind Speed
Albany,US,42.6,-73.97,1591708569.0,0.0,57.0,66.0,0.74
Teya,RU,60.38,92.63,1591708704.0,36.0,59.0,53.26,6.55
Provideniya,RU,64.38,-173.3,1591708705.0,0.0,65.0,46.06,6.96
Golden,US,39.76,-105.22,1591708464.0,90.0,87.0,46.0,18.34
Takoradze,GH,4.88,-1.76,1591708705.0,68.0,78.0,82.47,9.19
Sitka,US,57.05,-135.33,1591708706.0,1.0,75.0,46.4,5.1
Mataura,NZ,-46.19,168.86,1591708706.0,94.0,81.0,46.99,1.99
Cape Town,ZA,-33.93,18.42,1591708566.0,0.0,64.0,72.0,10.29
Puerto Ayora,EC,-0.74,-90.35,1591708706.0,66.0,89.0,73.0,7.0
Arlit,NE,18.74,7.39,1591708706.0,0.0,5.0,114.28,11.41
Saldanha,ZA,-33.01,17.94,1591708707.0,0.0,56.0,69.8,5.82
Iqaluit,CA,63.75,-68.51,1591708707.0,90.0,92.0,32.0,12.75
Meuselwitz,DE,51.05,12.3,1591708707.0,100.0,52.0,66.2,6.93
Eyrarbakki,IS,63.86,-21.15,1591708707.0,75.0,76.0,55.0,11.41
Mahébourg,MU,-20.41,57.7,1591708707.0,75.0,64.0,73.4,14.99
Guerrero Negro,MX,27.98,-114.06,1591708708.0,0.0,74.0,61.81,2.44
Barrow,US,71.29,-156.79,1591708502.0,90.0,92.0,28.4,6.93
Kurāra,IN,25.98,79.98,1591708697.0,1.0,15.0,106.57,8.95
Ushuaia,AR,-54.8,-68.3,1591708590.0,75.0,69.0,37.4,7.16
Touros,BR,-5.2,-35.46,1591708708.0,75.0,74.0,82.4,5.82
Port Alfred,ZA,-33.59,26.89,1591708709.0,0.0,28.0,84.99,5.01
Ozinki,RU,51.18,49.68,1591708709.0,98.0,48.0,76.46,2.55
Ballina,AU,-28.87,153.57,1591708709.0,40.0,77.0,64.4,9.17
Matara,LK,5.95,80.54,1591708709.0,47.0,84.0,81.72,10.02
Busselton,AU,-33.65,115.33,1591708516.0,100.0,60.0,53.01,7.45
Bethel,US,41.37,-73.41,1591708413.0,1.0,46.0,71.6,3.36
Hithadhoo,MV,-0.6,73.08,1591708523.0,100.0,66.0,84.49,5.06
Castro,BR,-24.79,-50.01,1591708710.0,0.0,83.0,68.67,9.15
Parakou,BJ,9.34,2.63,1591708710.0,100.0,65.0,80.31,3.51
Béja,TN,36.73,9.18,1591708710.0,75.0,68.0,78.8,10.29
Sakakah,SA,29.97,40.21,1591708710.0,0.0,6.0,104.0,4.7
Kilinochchi,LK,9.4,80.4,1591708710.0,100.0,72.0,84.52,12.39
Batemans Bay,AU,-35.72,150.18,1591708710.0,100.0,94.0,50.0,4.68
Pāsighāt,IN,28.07,95.33,1591708711.0,0.0,69.0,82.42,0.87
Baghdad,IQ,33.34,44.4,1591708588.0,0.0,9.0,113.0,3.36
Varhaug,NO,58.61,5.65,1591708481.0,75.0,76.0,55.0,10.29
Geraldton,AU,-28.77,114.6,1591708711.0,100.0,71.0,55.4,5.82
Khatanga,RU,71.97,102.5,1591708711.0,77.0,42.0,50.56,8.52
Esso,RU,55.93,158.7,1591708711.0,0.0,79.0,41.41,3.74
Fortuna,US,40.6,-124.16,1591708712.0,1.0,100.0,48.0,9.17
Kavaratti,IN,10.57,72.64,1591708712.0,100.0,75.0,85.21,14.79
Masakin,TN,35.73,10.58,1591708712.0,40.0,54.0,84.2,6.93
Santa Elena,EC,-2.23,-80.85,1591708712.0,75.0,83.0,71.6,14.99
Lavrentiya,RU,65.58,-171.0,1591708712.0,12.0,87.0,35.8,4.68
Dunedin,NZ,-45.87,170.5,1591708623.0,51.0,51.0,53.01,8.14
Pokaran,IN,26.92,71.92,1591708713.0,7.0,21.0,105.26,8.1
Maun,BW,-19.98,23.42,1591708713.0,0.0,26.0,78.8,8.05
